term,category,year,ngrams_freq
alignment,operational,2019,8.57385020935908e-06
healing,relational,2010,2.2290732886176556e-05
healing,relational,2011,2.5037574232555926e-05
healing,relational,2012,2.3109150788513944e-05
healing,relational,2013,2.173482243961189e-05
healing,relational,2014,2.250382567581255e-05
healing,relational,2015,2.3480741219827905e-05
healing,relational,2016,2.284590846102219e-05
healing,relational,2017,2.1509838916244917e-05
healing,relational,2018,2.1688716515200213e-05
healing,relational,2019,2.3325788788497448e-05
bedside,relational,2010,4.289569460524945e-06
bedside,relational,2011,4.8543274715484586e-06
bedside,relational,2012,4.755278496304527e-06
bedside,relational,2013,4.520942638919223e-06
bedside,relational,2014,5.360441264201654e-06
bedside,relational,2015,5.199531187827233e-06
bedside,relational,2016,4.76552440886735e-06
bedside,relational,2017,5.164357389730867e-06
bedside,relational,2018,5.112976850796258e-06
bedside,relational,2019,5.247577519185143e-06
compassion,relational,2010,1.0910327546298504e-05
compassion,relational,2011,1.1023673323506955e-05
compassion,relational,2012,1.0313998245692346e-05
compassion,relational,2013,1.0257584108330775e-05
compassion,relational,2014,1.138592870120192e-05
compassion,relational,2015,1.2328941011219285e-05
compassion,relational,2016,1.150017214968102e-05
compassion,relational,2017,1.2981960935576353e-05
compassion,relational,2018,1.3114196917740628e-05
compassion,relational,2019,1.2449317182472441e-05
physician,relational,2010,2.1310152078513056e-05
physician,relational,2011,1.950160731212236e-05
physician,relational,2012,1.9225617506890558e-05
physician,relational,2013,1.881000389403198e-05
physician,relational,2014,1.759918268362526e-05
physician,relational,2015,1.8323113181395456e-05
physician,relational,2016,1.704068563412875e-05
physician,relational,2017,1.5907220586086623e-05
physician,relational,2018,1.69812046806328e-05
physician,relational,2019,1.6416959624621086e-05
professionalism,relational,2010,2.8933507110195933e-06
professionalism,relational,2011,2.566887815191876e-06
professionalism,relational,2012,2.492945441190386e-06
professionalism,relational,2013,2.906907866417896e-06
professionalism,relational,2014,2.81474103758228e-06
professionalism,relational,2015,2.8011450012854766e-06
professionalism,relational,2016,3.379834424777073e-06
professionalism,relational,2017,2.6469904241821496e-06
professionalism,relational,2018,2.4231328552559717e-06
professionalism,relational,2019,2.4938062779256143e-06
relationship,relational,2010,0.0001453046133974567
relationship,relational,2011,0.00014343227667268366
relationship,relational,2012,0.0001461560750612989
relationship,relational,2013,0.00015637002070434391
relationship,relational,2014,0.00014783661754336208
relationship,relational,2015,0.00014620534784626216
relationship,relational,2016,0.00015660545614082366
relationship,relational,2017,0.00013640240649692714
relationship,relational,2018,0.00012815510854125023
relationship,relational,2019,0.00014000397641211748
trust,relational,2010,7.498219929402694e-05
trust,relational,2011,7.443423237418756e-05
trust,relational,2012,6.845623283879831e-05
trust,relational,2013,6.781551928725094e-05
trust,relational,2014,7.615399226779118e-05
trust,relational,2015,7.619093230459839e-05
trust,relational,2016,7.332677341764793e-05
trust,relational,2017,7.510922296205536e-05
trust,relational,2018,7.418724271701649e-05
trust,relational,2019,7.51236584619619e-05
listen,relational,2010,3.564394501154311e-05
listen,relational,2011,3.829631532425992e-05
listen,relational,2012,3.512726107146591e-05
listen,relational,2013,3.4373024391243234e-05
listen,relational,2014,3.9670638216193765e-05
listen,relational,2015,3.880273288814351e-05
listen,relational,2016,3.592441134969704e-05
listen,relational,2017,3.922607720596716e-05
listen,relational,2018,3.779322651098482e-05
listen,relational,2019,4.047914262628183e-05
dignity,relational,2010,1.3058775039098691e-05
dignity,relational,2011,1.2599213732755743e-05
dignity,relational,2012,1.1416007509978954e-05
dignity,relational,2013,1.2678063285420649e-05
dignity,relational,2014,1.3354454495129175e-05
dignity,relational,2015,1.4214337170415092e-05
dignity,relational,2016,1.3899265468353406e-05
dignity,relational,2017,1.5575778888887726e-05
dignity,relational,2018,1.7401722288923338e-05
dignity,relational,2019,1.6470581613248214e-05
comfort,relational,2010,2.6496820282773115e-05
comfort,relational,2011,2.741042226261925e-05
comfort,relational,2012,2.5383913452969864e-05
comfort,relational,2013,2.5729817934916355e-05
comfort,relational,2014,2.8879270757897757e-05
comfort,relational,2015,2.9416751203825697e-05
comfort,relational,2016,2.7083211534773e-05
comfort,relational,2017,3.0421313567785546e-05
comfort,relational,2018,3.0425140721490607e-05
comfort,relational,2019,3.081066824961454e-05
suffering,relational,2010,3.559172182576731e-05
suffering,relational,2011,3.483426553430036e-05
suffering,relational,2012,3.2653220841893926e-05
suffering,relational,2013,3.447985727689229e-05
suffering,relational,2014,3.56417840521317e-05
suffering,relational,2015,3.8027155824238434e-05
suffering,relational,2016,3.727144576259889e-05
suffering,relational,2017,3.7126279494259506e-05
suffering,relational,2018,3.794346048380248e-05
suffering,relational,2019,3.8336642319336534e-05
