term,early_count,late_count,delta
another,0,5,5
inspire,0,5,5
important,1,6,5
education,13,18,5
term,0,5,5
usually,0,5,5
evaluate,1,6,5
manage,0,5,5
laderriere,0,5,5
obesity,0,5,5
unique,0,5,5
again,0,5,5
cure,0,5,5
prioritize,0,5,5
collaboration,0,5,5
point,0,5,5
nursing,0,5,5
happen,0,5,5
senior,0,5,5
associate,1,6,5
particularly,0,5,5
today,0,5,5
eat,1,6,5
american,0,5,5
hard,0,5,5
effort,0,5,5
glioblastoma,0,5,5
key,0,4,4
discovery,0,4,4
prevention,0,4,4
underserved,0,4,4
pregnant,0,4,4
behavioral,0,4,4
faculty,0,4,4
ray,0,4,4
sometimes,0,4,4
challenging,0,4,4
caregiver,2,6,4
three,2,6,4
capacity,0,4,4
500,0,4,4
setting,0,4,4
paper,0,4,4
african,0,4,4
short,0,4,4
neighborhood,0,4,4
pharmacist,0,4,4
optimize,0,4,4
specialized,0,4,4
serious,0,4,4
stress,0,4,4
aggressive,0,4,4
tms,0,4,4
funding,0,4,4
set,0,4,4
almost,0,4,4
nurse,7,11,4
flu,0,4,4
actually,0,4,4
counsel,0,4,4
visitor,2,6,4
endo,0,4,4
wraparound,0,4,4
block,0,4,4
preserve,0,4,4
knowledge,0,4,4
infographics,0,4,4
pattern,0,4,4
service,18,22,4
quick,1,5,4
machine,0,4,4
unit,1,5,4
occur,0,4,4
finally,0,4,4
suspect,0,4,4
eventually,0,4,4
factor,0,4,4
draft,0,4,4
release,3,7,4
2024,0,4,4
transform,0,4,4
specific,1,5,4
disability,0,4,4
lgbtq+,0,4,4
expand,2,6,4
difference,0,4,4
accurate,0,4,4
turn,0,4,4
row,0,4,4
english,0,4,4
slow,0,4,4
educational,0,4,4
prom,0,4,4
car,0,4,4
represent,0,4,4
spanish,0,4,4
newly,1,5,4
return,1,5,4
something,0,4,4
end,1,5,4
operate,1,5,4
measure,2,6,4
mary,2,6,4
order,0,4,4
human,0,4,4
sepsis,0,4,4
former,0,4,4
origins,0,4,4
potential,0,4,4
launch,0,4,4
nasa,0,4,4
translate,0,4,4
monitoring,0,4,4
