system,year,doctype,n_tokens,op_total,rel_total,op_rate_per_10k,rel_rate_per_10k,ratio_op_to_rel
duke,2013,press_release,497,0,2,0.0,40.241448692152915,0.0
duke,2013,press_release,803,0,2,0.0,24.906600249066003,0.0
duke,2013,press_release,898,0,3,0.0,33.4075723830735,0.0
duke,2013,press_release,939,0,3,0.0,31.94888178913738,0.0
duke,2013,press_release,996,0,6,0.0,60.24096385542169,0.0
duke,2013,press_release,915,0,7,0.0,76.50273224043715,0.0
ucsf,2016,press_release,949,1,14,10.53740779768177,147.52370916754478,0.07142857142857142
ucsf,2011,press_release,1050,1,14,9.523809523809524,133.33333333333334,0.07142857142857142
ucsf,2011,press_release,1303,1,16,7.674597083653108,122.79355333844973,0.0625
ucsf,2011,press_release,1094,1,14,9.140767824497258,127.97074954296161,0.07142857142857142
ucsf,2011,press_release,1039,1,15,9.624639076034649,144.36958614051974,0.06666666666666667
ucsf,2011,press_release,415,1,1,24.096385542168676,24.096385542168676,1.0
ucsf,2011,press_release,1507,1,15,6.635700066357001,99.53550099535501,0.06666666666666667
ucsf,2011,press_release,1049,0,11,0.0,104.86177311725453,0.0
ucsf,2011,press_release,588,1,15,17.006802721088434,255.10204081632654,0.06666666666666667
ucsf,2011,press_release,978,0,0,0.0,0.0,
ucsf,2011,press_release,1375,2,15,14.545454545454545,109.0909090909091,0.13333333333333333
ucsf,2011,press_release,673,0,5,0.0,74.29420505200595,0.0
ucsf,2011,press_release,1292,1,15,7.739938080495356,116.09907120743034,0.06666666666666667
ucsf,2011,press_release,1303,1,13,7.674597083653108,99.7697620874904,0.07692307692307691
ucsf,2011,press_release,825,1,13,12.121212121212121,157.57575757575756,0.07692307692307693
ucsf,2011,press_release,1188,4,22,33.67003367003367,185.1851851851852,0.1818181818181818
ucsf,2011,press_release,1392,1,15,7.183908045977011,107.75862068965517,0.06666666666666667
ucsf,2011,press_release,678,1,14,14.749262536873156,206.4896755162242,0.07142857142857142
ucsf,2011,press_release,1148,1,24,8.710801393728223,209.05923344947735,0.04166666666666667
ucsf,2011,press_release,991,0,0,0.0,0.0,
ucsf,2011,press_release,1499,1,14,6.6711140760507,93.3955970647098,0.07142857142857142
ucsf,2011,press_release,1589,1,14,6.293266205160478,88.10572687224669,0.07142857142857142
ucsf,2011,press_release,802,0,17,0.0,211.97007481296757,0.0
ucsf,2011,press_release,1193,1,26,8.382229673093043,217.9379715004191,0.038461538461538464
ucsf,2011,press_release,1196,1,14,8.361204013377927,117.05685618729098,0.07142857142857142
ucsf,2011,press_release,156,0,0,0.0,0.0,
ucsf,2011,press_release,916,0,2,0.0,21.83406113537118,0.0
ucsf,2011,press_release,1835,3,25,16.348773841961854,136.23978201634878,0.12000000000000001
ucsf,2011,press_release,1117,1,17,8.952551477170994,152.1933751119069,0.058823529411764705
ucsf,2011,press_release,488,0,0,0.0,0.0,
ucsf,2011,press_release,451,0,0,0.0,0.0,
ucsf,2011,press_release,192,0,1,0.0,52.083333333333336,0.0
ucsf,2011,press_release,711,0,21,0.0,295.3586497890295,0.0
ucsf,2011,press_release,152,0,1,0.0,65.78947368421052,0.0
ucsf,2011,press_release,1907,3,32,15.731515469323545,167.8028316727845,0.09375
ucsf,2011,press_release,934,1,14,10.70663811563169,149.89293361884367,0.07142857142857142
ucsf,2011,press_release,178,0,3,0.0,168.53932584269663,0.0
ucsf,2011,press_release,1001,1,24,9.99000999000999,239.76023976023976,0.041666666666666664
ucsf,2011,press_release,923,1,14,10.834236186348862,151.67930660888408,0.07142857142857142
ucsf,2011,press_release,3272,4,22,12.224938875305623,67.23716381418093,0.18181818181818182
ucsf,2011,press_release,675,1,14,14.814814814814815,207.40740740740742,0.07142857142857142
ucsf,2011,press_release,1155,1,13,8.658008658008658,112.55411255411255,0.07692307692307693
ucsf,2011,press_release,298,0,8,0.0,268.4563758389262,0.0
ucsf,2011,press_release,1052,0,15,0.0,142.58555133079847,0.0
ucsf,2011,press_release,854,4,18,46.8384074941452,210.7728337236534,0.2222222222222222
ucsf,2011,press_release,671,1,14,14.903129657228018,208.64381520119224,0.07142857142857142
ucsf,2011,press_release,837,1,13,11.947431302270012,155.31660692951016,0.07692307692307691
ucsf,2011,press_release,1302,1,13,7.680491551459293,99.84639016897081,0.07692307692307693
ucsf,2011,press_release,1161,0,11,0.0,94.74590869939708,0.0
ucsf,2011,press_release,192,0,1,0.0,52.083333333333336,0.0
ucsf,2011,press_release,971,0,2,0.0,20.597322348094746,0.0
ucsf,2011,press_release,860,0,3,0.0,34.883720930232556,0.0
ucsf,2011,press_release,348,0,1,0.0,28.735632183908045,0.0
ucsf,2011,press_release,143,0,0,0.0,0.0,
ucsf,2011,press_release,1661,0,27,0.0,162.5526791089705,0.0
ucsf,2011,press_release,1815,1,14,5.509641873278237,77.13498622589532,0.07142857142857142
ucsf,2011,press_release,1173,1,19,8.525149190110827,161.9778346121057,0.052631578947368425
ucsf,2011,press_release,1278,1,18,7.82472613458529,140.8450704225352,0.05555555555555556
ucsf,2011,press_release,543,0,3,0.0,55.248618784530386,0.0
ucsf,2011,press_release,1271,1,17,7.867820613690008,133.75295043273013,0.05882352941176471
ucsf,2011,press_release,921,1,14,10.857763300760043,152.0086862106406,0.07142857142857142
ucsf,2011,press_release,1275,2,14,15.686274509803921,109.80392156862744,0.14285714285714285
ucsf,2011,press_release,1093,4,14,36.596523330283624,128.0878316559927,0.2857142857142857
ucsf,2011,press_release,164,0,2,0.0,121.95121951219512,0.0
ucsf,2011,press_release,174,0,3,0.0,172.41379310344828,0.0
ucsf,2011,press_release,1110,4,15,36.03603603603604,135.13513513513513,0.26666666666666666
ucsf,2011,press_release,900,0,2,0.0,22.22222222222222,0.0
ucsf,2011,press_release,993,1,18,10.070493454179255,181.2688821752266,0.05555555555555555
ucsf,2011,press_release,585,0,8,0.0,136.75213675213675,0.0
ucsf,2018,press_release,957,1,14,10.449320794148381,146.2904911180773,0.07142857142857144
ucsf,2010,press_release,243,0,3,0.0,123.45679012345678,0.0
ucsf,2010,press_release,1126,1,24,8.880994671403197,213.14387211367674,0.041666666666666664
ucsf,2010,press_release,1089,0,1,0.0,9.182736455463727,0.0
ucsf,2010,press_release,722,1,0,13.850415512465373,0.0,
ucsf,2010,press_release,932,0,8,0.0,85.83690987124463,0.0
ucsf,2010,press_release,235,0,7,0.0,297.8723404255319,0.0
ucsf,2010,press_release,758,1,15,13.192612137203167,197.88918205804748,0.06666666666666667
ucsf,2010,press_release,1179,0,10,0.0,84.81764206955047,0.0
ucsf,2010,press_release,1093,1,17,9.149130832570906,155.5352241537054,0.058823529411764705
ucsf,2010,press_release,1346,1,22,7.429420505200595,163.44725111441306,0.04545454545454546
ucsf,2010,press_release,184,0,5,0.0,271.7391304347826,0.0
ucsf,2010,press_release,378,2,0,52.91005291005291,0.0,
ucsf,2010,press_release,934,0,10,0.0,107.06638115631692,0.0
ucsf,2010,press_release,805,0,20,0.0,248.4472049689441,0.0
ucsf,2010,press_release,966,0,11,0.0,113.87163561076605,0.0
ucsf,2010,press_release,670,0,34,0.0,507.46268656716416,0.0
ucsf,2010,press_release,802,0,14,0.0,174.5635910224439,0.0
ucsf,2010,press_release,184,0,5,0.0,271.7391304347826,0.0
ucsf,2010,press_release,922,2,23,21.691973969631235,249.45770065075922,0.08695652173913043
ucsf,2010,press_release,1335,1,21,7.49063670411985,157.30337078651687,0.047619047619047616
ucsf,2010,press_release,374,0,1,0.0,26.737967914438503,0.0
ucsf,2017,press_release,931,1,15,10.741138560687434,161.1170784103115,0.06666666666666667
ucsf,2012,press_release,1023,2,17,19.550342130987293,166.177908113392,0.11764705882352941
ucsf,2012,press_release,218,0,1,0.0,45.87155963302752,0.0
ucsf,2012,press_release,900,2,28,22.22222222222222,311.1111111111111,0.07142857142857144
ucsf,2012,press_release,1496,1,14,6.684491978609626,93.58288770053476,0.07142857142857144
ucsf,2012,press_release,225,0,3,0.0,133.33333333333334,0.0
ucsf,2012,press_release,1132,1,24,8.8339222614841,212.01413427561837,0.04166666666666667
ucsf,2012,press_release,276,0,7,0.0,253.6231884057971,0.0
ucsf,2012,press_release,840,1,32,11.904761904761905,380.95238095238096,0.03125
ucsf,2012,press_release,440,0,10,0.0,227.27272727272728,0.0
ucsf,2012,press_release,565,0,3,0.0,53.097345132743364,0.0
ucsf,2012,press_release,1066,1,18,9.380863039399625,168.85553470919325,0.05555555555555555
ucsf,2012,press_release,258,0,7,0.0,271.3178294573643,0.0
ucsf,2012,press_release,916,1,14,10.91703056768559,152.83842794759826,0.07142857142857142
ucsf,2012,press_release,727,2,18,27.51031636863824,247.59284731774414,0.11111111111111112
ucsf,2012,press_release,234,1,10,42.73504273504273,427.35042735042737,0.09999999999999999
ucsf,2012,press_release,926,1,15,10.799136069114471,161.98704103671707,0.06666666666666667
ucsf,2012,press_release,1184,1,19,8.445945945945946,160.47297297297297,0.05263157894736842
ucsf,2012,press_release,288,0,9,0.0,312.5,0.0
ucsf,2012,press_release,1200,1,17,8.333333333333334,141.66666666666666,0.05882352941176471
ucsf,2012,press_release,1436,1,14,6.963788300835654,97.49303621169916,0.07142857142857142
ucsf,2012,press_release,1311,1,23,7.627765064836003,175.43859649122808,0.043478260869565216
ucsf,2012,press_release,1363,2,15,14.673514306676449,110.05135730007336,0.13333333333333333
ucsf,2012,press_release,1132,1,14,8.8339222614841,123.67491166077738,0.07142857142857144
ucsf,2012,press_release,1171,2,15,17.079419299743808,128.09564474807857,0.13333333333333333
ucsf,2012,press_release,1761,1,36,5.6785917092561045,204.42930153321976,0.02777777777777778
ucsf,2012,press_release,234,0,2,0.0,85.47008547008546,0.0
ucsf,2012,press_release,1283,1,14,7.79423226812159,109.11925175370226,0.07142857142857142
ucsf,2012,press_release,249,0,7,0.0,281.12449799196787,0.0
ucsf,2012,press_release,1122,1,14,8.9126559714795,124.77718360071302,0.07142857142857142
ucsf,2012,press_release,235,0,3,0.0,127.65957446808511,0.0
ucsf,2012,press_release,1294,1,15,7.727975270479135,115.91962905718702,0.06666666666666667
ucsf,2012,press_release,1841,7,43,38.02281368821293,233.56871265616513,0.1627906976744186
ucsf,2012,press_release,1126,1,16,8.880994671403197,142.09591474245116,0.0625
ucsf,2012,press_release,192,0,1,0.0,52.083333333333336,0.0
ucsf,2012,press_release,596,0,11,0.0,184.56375838926175,0.0
ucsf,2012,press_release,233,0,7,0.0,300.42918454935625,0.0
ucsf,2012,press_release,1179,2,16,16.963528413910094,135.70822731128075,0.125
ucsf,2012,press_release,846,2,28,23.64066193853428,330.9692671394799,0.07142857142857144
ucsf,2012,press_release,1122,1,23,8.9126559714795,204.99108734402853,0.043478260869565216
ucsf,2012,press_release,1170,2,28,17.094017094017094,239.31623931623932,0.07142857142857142
ucsf,2012,press_release,710,1,14,14.084507042253522,197.18309859154928,0.07142857142857144
ucsf,2012,press_release,1687,2,20,11.855364552459989,118.55364552459989,0.1
ucsf,2012,press_release,1496,2,29,13.368983957219251,193.85026737967914,0.06896551724137931
ucsf,2015,press_release,1156,1,20,8.650519031141869,173.01038062283737,0.05
ucsf,2015,press_release,703,0,10,0.0,142.2475106685633,0.0
ucsf,2023,press_release,1440,1,6,6.944444444444445,41.666666666666664,0.16666666666666669
ucsf,2024,press_release,892,0,1,0.0,11.210762331838565,0.0
ucsf,2024,press_release,940,0,1,0.0,10.638297872340425,0.0
ucsf,2024,press_release,1000,2,6,20.0,60.0,0.3333333333333333
ucsf,2024,press_release,848,1,15,11.79245283018868,176.88679245283018,0.06666666666666667
ucsf,2024,press_release,1059,0,0,0.0,0.0,
ucsf,2024,press_release,1101,2,2,18.165304268846505,18.165304268846505,1.0
ucsf,2024,press_release,674,2,4,29.673590504451038,59.347181008902076,0.5
ucsf,2024,press_release,387,0,1,0.0,25.839793281653748,0.0
ucsf,2024,press_release,468,0,1,0.0,21.367521367521366,0.0
ucsf,2024,press_release,813,1,19,12.300123001230013,233.70233702337023,0.052631578947368425
ucsf,2024,press_release,817,1,10,12.239902080783354,122.39902080783354,0.1
ucsf,2024,press_release,1651,2,10,12.113870381586917,60.56935190793458,0.2
ucsf,2024,press_release,756,1,2,13.227513227513228,26.455026455026456,0.5
ucsf,2024,press_release,623,0,0,0.0,0.0,
ucsf,2024,press_release,716,1,4,13.966480446927374,55.865921787709496,0.25
ucsf,2024,press_release,638,1,0,15.67398119122257,0.0,
ucsf,2024,press_release,976,0,12,0.0,122.95081967213115,0.0
ucsf,2024,press_release,984,0,13,0.0,132.1138211382114,0.0
